ThoiGian (s),ToaDoX (m),ToaDoY (m)
0.0,0.0,0.0
0.053705692803437156,0.46510494295619687,0.2543953869636496
0.10741138560687431,0.9302098859123937,0.4805246198202271
0.16111707841031148,1.3953148288685908,0.6783876985697324
0.21482277121374863,1.8604197718247875,0.8479846232121654
0.2685284640171858,2.3255247147809843,0.9893153937475262
0.32223415682062295,2.7906296577371816,1.102380010175815
0.3759398496240601,3.255734600693378,1.1871784724970316
0.42964554242749725,3.720839543649575,1.2437107807111758
0.48335123523093443,4.185944486605772,1.271976934818248
0.5370569280343716,4.651049429561969,1.2719769348182477
0.5907626208378087,5.1161543725181655,1.2437107807111756
0.6444683136412459,5.581259315474363,1.1871784724970316
0.6981740064446831,6.04636425843056,1.102380010175815
0.7518796992481201,6.511469201386756,0.9893153937475265
0.8055853920515573,6.976574144342953,0.8479846232121653
0.8592910848549945,7.44167908729915,0.6783876985697321
0.9129967776584317,7.906784030255348,0.4805246198202271
0.9667024704618689,8.371888973211544,0.2543953869636484
1.020408163265306,8.83699391616774,0.0
